onset,terminus,vertex.id,onset.censored,terminus.censored,duration
432,623,10,FALSE,FALSE,191
624,815,11,FALSE,FALSE,191
816,1007,9,FALSE,FALSE,191
1008,1103,7,FALSE,FALSE,95
1104,1295,3,FALSE,FALSE,191
1296,1487,11,FALSE,FALSE,191
1488,1583,9,FALSE,FALSE,95
1584,1775,10,FALSE,FALSE,191
1776,1967,11,FALSE,FALSE,191
1968,2159,12,FALSE,FALSE,191
2160,2351,10,FALSE,FALSE,191
2352,2543,9,FALSE,FALSE,191
2544,2735,10,FALSE,FALSE,191
2928,3311,11,FALSE,FALSE,383
3312,3599,11,FALSE,FALSE,287
3600,3647,10,FALSE,FALSE,47
3648,3695,9,FALSE,FALSE,47
3696,4079,10,FALSE,FALSE,383
4080,4271,11,FALSE,FALSE,191
4272,4559,10,FALSE,FALSE,287
4560,4751,13,FALSE,FALSE,191
4752,4895,12,FALSE,FALSE,143
4896,4943,11,FALSE,FALSE,47
4944,5135,11,FALSE,FALSE,191
5136,5231,10,FALSE,FALSE,95
5232,5327,11,FALSE,FALSE,95
5328,5423,8,FALSE,FALSE,95
5424,5519,10,FALSE,FALSE,95
5520,5615,7,FALSE,FALSE,95
5616,5807,6,FALSE,FALSE,191
5904,5999,10,FALSE,FALSE,95
6000,6095,8,FALSE,FALSE,95
6096,6191,6,FALSE,FALSE,95
6192,6287,7,FALSE,FALSE,95
6288,6479,11,FALSE,FALSE,191
6480,6575,8,FALSE,FALSE,95
6576,6671,10,FALSE,FALSE,95
6672,6863,11,FALSE,FALSE,191
6864,6959,13,FALSE,FALSE,95
6960,7151,12,FALSE,FALSE,191
7152,7343,11,FALSE,FALSE,191
7344,7535,10,FALSE,FALSE,191
7536,7727,9,FALSE,FALSE,191
7728,8015,10,FALSE,FALSE,287
8016,8159,11,FALSE,FALSE,143
8160,8207,10,FALSE,FALSE,47
8208,8303,7,FALSE,FALSE,95
8304,8399,5,FALSE,FALSE,95
8400,8495,10,FALSE,FALSE,95
8496,8591,11,FALSE,FALSE,95
8592,8783,13,FALSE,FALSE,191
8784,8879,12,FALSE,FALSE,95
8880,9071,13,FALSE,FALSE,191
9072,9263,12,FALSE,FALSE,191
9264,9455,11,FALSE,FALSE,191
9552,9743,10,FALSE,FALSE,191
9744,9839,11,FALSE,FALSE,95
9840,10031,9,FALSE,FALSE,191
10032,10223,10,FALSE,FALSE,191
10224,10319,11,FALSE,FALSE,95
10320,10463,13,FALSE,FALSE,143
10464,10511,12,FALSE,FALSE,47
10512,10607,10,FALSE,FALSE,95
10608,10799,11,FALSE,FALSE,191
10800,10895,12,FALSE,FALSE,95
10896,11183,10,FALSE,FALSE,287
11184,11279,12,FALSE,FALSE,95
11280,11375,13,FALSE,FALSE,95
11376,11567,14,FALSE,FALSE,191
11568,11663,13,FALSE,FALSE,95
11664,11807,12,FALSE,FALSE,143
11808,11855,10,FALSE,FALSE,47
11856,11951,11,FALSE,FALSE,95
11952,12143,12,FALSE,FALSE,191
12144,12335,11,FALSE,FALSE,191
12336,12527,10,FALSE,FALSE,191
12528,12719,9,FALSE,FALSE,191
12720,12815,10,FALSE,FALSE,95
12816,12863,5,FALSE,FALSE,47
12864,12911,6,FALSE,FALSE,47
12912,12959,7,FALSE,FALSE,47
12960,13007,8,FALSE,FALSE,47
13008,13391,10,FALSE,FALSE,383
