tail,head,weight
10,11,1
11,9,1
9,7,1
7,3,1
3,11,1
11,9,1
9,10,1
10,11,1
11,12,1
12,10,1
10,9,1
9,10,1
10,11,1
11,11,1
11,10,1
10,9,1
9,10,1
10,11,1
11,10,1
10,13,1
13,12,1
12,11,1
11,11,1
11,10,1
10,11,1
11,8,1
8,10,1
10,7,1
7,6,1
6,10,1
10,8,1
8,6,1
6,7,1
7,11,1
11,8,1
8,10,1
10,11,1
11,13,1
13,12,1
12,11,1
11,10,1
10,9,1
9,10,1
10,11,1
11,10,1
10,7,1
7,5,1
5,10,1
10,11,1
11,13,1
13,12,1
12,13,1
13,12,1
12,11,1
11,10,1
10,11,1
11,9,1
9,10,1
10,11,1
11,13,1
13,12,1
12,10,1
10,11,1
11,12,1
12,10,1
10,12,1
12,13,1
13,14,1
14,13,1
13,12,1
12,10,1
10,11,1
11,12,1
12,11,1
11,10,1
10,9,1
9,10,1
10,5,1
5,6,1
6,7,1
7,8,1
8,10,1
10,5,1
5,4,1
4,2,1
2,1,1
1,2,1
2,10,1
10,9,1
9,10,1
10,10,1
10,11,1
11,12,1
12,12,1
12,12,1
12,12,1
12,13,1
13,13,1
13,12,1
12,12,1
12,12,1
12,11,1
11,12,1
12,13,1
13,12,1
12,11,1
11,12,1
12,13,1
13,12,1
12,11,1
11,10,1
10,9,1
9,11,1
11,12,1
12,13,1
13,12,1
12,11,1
11,10,1
10,13,1
13,13,1
13,12,1
12,10,1
10,11,1
11,12,1
12,13,1
13,11,1
11,12,1
12,10,1
10,9,1
9,10,1
10,11,1
11,10,1
10,11,1
11,7,1
7,8,1
8,10,1
10,7,1
7,11,1
11,10,1
10,9,1
9,7,1
7,10,1
10,9,1
9,7,1
7,6,1
6,5,1
5,10,1
10,9,1
9,10,1
10,10,1
10,11,1
11,9,1
9,7,1
7,3,1
3,11,1
11,9,1
9,10,1
10,11,1
11,12,1
12,10,1
10,9,1
9,10,1
10,11,1
11,11,1
11,10,1
10,9,1
9,10,1
10,11,1
11,10,1
10,13,1
13,12,1
12,11,1
11,11,1
11,10,1
10,11,1
11,8,1
8,10,1
10,7,1
7,6,1
6,10,1
10,8,1
8,6,1
6,7,1
7,11,1
11,8,1
8,10,1
10,11,1
11,13,1
13,12,1
12,11,1
11,10,1
10,9,1
9,10,1
10,11,1
11,10,1
10,7,1
7,5,1
5,10,1
10,11,1
11,13,1
13,12,1
12,13,1
13,12,1
12,11,1
11,10,1
10,11,1
11,9,1
9,10,1
10,11,1
11,13,1
13,12,1
12,10,1
10,11,1
11,12,1
12,10,1
10,12,1
12,13,1
13,14,1
14,13,1
13,12,1
12,10,1
10,11,1
11,12,1
12,11,1
11,10,1
10,9,1
9,10,1
10,5,1
5,6,1
6,7,1
7,8,1
8,10,1
10,5,1
5,4,1
4,2,1
2,1,1
1,2,1
2,10,1
10,9,1
9,10,1
