onset,terminus,tail,head,onset.censored,terminus.censored,duration,edge.id
815,1007,4,5,FALSE,FALSE,192,16
1007,1199,5,6,FALSE,FALSE,192,22
1199,1391,6,6,FALSE,FALSE,192,5
1391,1487,6,5,FALSE,FALSE,96,14
1487,1583,5,3,FALSE,FALSE,96,11
1583,1775,3,4,FALSE,FALSE,192,20
1775,2063,4,5,FALSE,FALSE,288,16
2063,2207,5,6,FALSE,FALSE,144,22
2207,2255,6,4,FALSE,FALSE,48,23
2255,2447,4,4,FALSE,FALSE,192,7
2447,2543,4,3,FALSE,FALSE,96,21
2543,2735,3,4,FALSE,FALSE,192,20
2735,3311,4,6,FALSE,FALSE,576,13
3311,3599,6,6,FALSE,FALSE,288,5
3599,3647,6,5,FALSE,FALSE,48,14
3647,3695,5,4,FALSE,FALSE,48,17
3695,4079,4,5,FALSE,FALSE,384,16
4079,4271,5,6,FALSE,FALSE,192,22
4271,4463,6,6,FALSE,FALSE,192,5
4463,4655,6,9,FALSE,FALSE,192,3
4655,4847,9,6,FALSE,FALSE,192,15
4847,5039,6,5,FALSE,FALSE,192,14
5039,5231,5,6,FALSE,FALSE,192,22
5231,5423,6,7,FALSE,FALSE,192,19
5423,5519,7,6,FALSE,FALSE,96,2
5519,5615,6,4,FALSE,FALSE,96,23
5615,5807,4,5,FALSE,FALSE,192,16
5807,5903,5,4,FALSE,FALSE,96,17
5903,6047,4,4,FALSE,FALSE,144,7
6047,6095,4,2,FALSE,FALSE,48,6
6095,6191,2,3,FALSE,FALSE,96,9
6191,6479,3,4,FALSE,FALSE,288,20
6479,6575,4,4,FALSE,FALSE,96,7
6575,6671,4,5,FALSE,FALSE,96,16
6671,7055,5,6,FALSE,FALSE,384,22
7055,7151,6,5,FALSE,FALSE,96,14
7151,7247,5,4,FALSE,FALSE,96,17
7247,7391,4,5,FALSE,FALSE,144,16
7391,7439,5,4,FALSE,FALSE,48,17
7439,7631,4,4,FALSE,FALSE,192,7
7631,7727,4,3,FALSE,FALSE,96,21
7727,7919,3,4,FALSE,FALSE,192,20
7919,8303,4,6,FALSE,FALSE,384,13
8303,8591,6,6,FALSE,FALSE,288,5
8591,8639,6,5,FALSE,FALSE,48,14
8639,8687,5,4,FALSE,FALSE,48,17
8687,8879,4,5,FALSE,FALSE,192,16
8879,9071,5,4,FALSE,FALSE,192,17
9071,9359,4,6,FALSE,FALSE,288,13
9359,9551,6,5,FALSE,FALSE,192,14
9551,9743,5,6,FALSE,FALSE,192,22
9743,9887,6,4,FALSE,FALSE,144,23
9887,9935,4,2,FALSE,FALSE,48,6
9935,10031,2,3,FALSE,FALSE,96,9
10031,10223,3,4,FALSE,FALSE,192,20
10223,10607,4,6,FALSE,FALSE,384,13
10607,10799,6,5,FALSE,FALSE,192,14
10799,10991,5,6,FALSE,FALSE,192,22
10991,11183,6,6,FALSE,FALSE,192,5
11183,11375,6,9,FALSE,FALSE,192,3
11375,11471,9,8,FALSE,FALSE,96,18
11471,11567,8,5,FALSE,FALSE,96,8
11567,11759,5,6,FALSE,FALSE,192,22
11759,11951,6,5,FALSE,FALSE,192,14
11951,12143,5,6,FALSE,FALSE,192,22
12143,12287,6,7,FALSE,FALSE,144,19
12287,12335,7,6,FALSE,FALSE,48,2
12335,12383,6,5,FALSE,FALSE,48,14
12383,12431,5,4,FALSE,FALSE,48,17
12431,12623,4,4,FALSE,FALSE,192,7
12623,12719,4,3,FALSE,FALSE,96,21
12719,13007,3,4,FALSE,FALSE,288,20
13007,13199,4,5,FALSE,FALSE,192,16
13199,13391,5,6,FALSE,FALSE,192,22
13391,13487,6,5,FALSE,FALSE,96,14
13487,13583,5,4,FALSE,FALSE,96,17
13583,13727,4,5,FALSE,FALSE,144,16
13727,13775,5,4,FALSE,FALSE,48,17
13775,13871,4,2,FALSE,FALSE,96,6
13871,13967,2,1,FALSE,FALSE,96,4
13967,14159,1,4,FALSE,FALSE,192,10
14159,14255,4,3,FALSE,FALSE,96,21
14255,14639,3,4,FALSE,FALSE,384,20
14639,15791,4,4,FALSE,FALSE,1152,7
15791,15983,4,5,FALSE,FALSE,192,16
15983,16175,5,6,FALSE,FALSE,192,22
16175,16367,6,6,FALSE,FALSE,192,5
16367,16559,6,6,FALSE,FALSE,192,5
16559,16943,6,6,FALSE,FALSE,384,5
16943,17135,6,6,FALSE,FALSE,192,5
17135,17327,6,6,FALSE,FALSE,192,5
17327,17519,6,6,FALSE,FALSE,192,5
17519,17711,6,6,FALSE,FALSE,192,5
17711,17855,6,6,FALSE,FALSE,144,5
17855,17903,6,5,FALSE,FALSE,48,14
17903,17999,5,6,FALSE,FALSE,96,22
17999,18191,6,7,FALSE,FALSE,192,19
18191,18383,7,6,FALSE,FALSE,192,2
18383,18479,6,5,FALSE,FALSE,96,14
18479,18863,5,6,FALSE,FALSE,384,22
18863,19439,6,4,FALSE,FALSE,576,23
19439,19631,4,5,FALSE,FALSE,192,16
19631,19823,5,6,FALSE,FALSE,192,22
19823,20015,6,6,FALSE,FALSE,192,5
20015,20207,6,6,FALSE,FALSE,192,5
20207,20399,6,6,FALSE,FALSE,192,5
20399,20591,6,6,FALSE,FALSE,192,5
20591,20879,6,6,FALSE,FALSE,288,5
20879,20975,6,5,FALSE,FALSE,96,14
20975,21167,5,7,FALSE,FALSE,192,12
21167,21359,7,6,FALSE,FALSE,192,2
21359,21551,6,5,FALSE,FALSE,192,14
21551,21647,5,4,FALSE,FALSE,96,17
21647,21839,4,4,FALSE,FALSE,192,7
21839,21935,4,3,FALSE,FALSE,96,21
21935,22127,3,4,FALSE,FALSE,192,20
22127,22703,4,4,FALSE,FALSE,576,7
22703,22895,4,4,FALSE,FALSE,192,7
22895,23087,4,4,FALSE,FALSE,192,7
23087,23279,4,5,FALSE,FALSE,192,16
23279,23471,5,4,FALSE,FALSE,192,17
23471,23663,4,2,FALSE,FALSE,192,6
23663,23855,2,4,FALSE,FALSE,192,1
23855,23951,4,5,FALSE,FALSE,96,16
23951,24143,5,6,FALSE,FALSE,192,22
24143,24335,6,4,FALSE,FALSE,192,23
24335,24431,4,3,FALSE,FALSE,96,21
24431,24815,3,4,FALSE,FALSE,384,20
24815,25823,4,4,FALSE,FALSE,1008,7
25823,26015,4,5,FALSE,FALSE,192,16
26015,26207,5,6,FALSE,FALSE,192,22
26207,26399,6,6,FALSE,FALSE,192,5
26399,26495,6,5,FALSE,FALSE,96,14
26495,26591,5,3,FALSE,FALSE,96,11
26591,26783,3,4,FALSE,FALSE,192,20
26783,27071,4,5,FALSE,FALSE,288,16
27071,27215,5,6,FALSE,FALSE,144,22
27215,27263,6,4,FALSE,FALSE,48,23
27263,27455,4,4,FALSE,FALSE,192,7
27455,27551,4,3,FALSE,FALSE,96,21
27551,27743,3,4,FALSE,FALSE,192,20
27743,28319,4,6,FALSE,FALSE,576,13
28319,28607,6,6,FALSE,FALSE,288,5
28607,28655,6,5,FALSE,FALSE,48,14
28655,28703,5,4,FALSE,FALSE,48,17
28703,29087,4,5,FALSE,FALSE,384,16
29087,29279,5,6,FALSE,FALSE,192,22
29279,29471,6,6,FALSE,FALSE,192,5
29471,29663,6,9,FALSE,FALSE,192,3
29663,29855,9,6,FALSE,FALSE,192,15
29855,30047,6,5,FALSE,FALSE,192,14
30047,30239,5,6,FALSE,FALSE,192,22
30239,30431,6,7,FALSE,FALSE,192,19
30431,30527,7,6,FALSE,FALSE,96,2
30527,30623,6,4,FALSE,FALSE,96,23
30623,30815,4,5,FALSE,FALSE,192,16
30815,30911,5,4,FALSE,FALSE,96,17
30911,31055,4,4,FALSE,FALSE,144,7
31055,31103,4,2,FALSE,FALSE,48,6
31103,31199,2,3,FALSE,FALSE,96,9
31199,31487,3,4,FALSE,FALSE,288,20
31487,31583,4,4,FALSE,FALSE,96,7
31583,31679,4,5,FALSE,FALSE,96,16
31679,32063,5,6,FALSE,FALSE,384,22
32063,32159,6,5,FALSE,FALSE,96,14
32159,32255,5,4,FALSE,FALSE,96,17
32255,32399,4,5,FALSE,FALSE,144,16
32399,32447,5,4,FALSE,FALSE,48,17
32447,32639,4,4,FALSE,FALSE,192,7
32639,32735,4,3,FALSE,FALSE,96,21
32735,32927,3,4,FALSE,FALSE,192,20
32927,33311,4,6,FALSE,FALSE,384,13
33311,33599,6,6,FALSE,FALSE,288,5
33599,33647,6,5,FALSE,FALSE,48,14
33647,33695,5,4,FALSE,FALSE,48,17
33695,33887,4,5,FALSE,FALSE,192,16
33887,34079,5,4,FALSE,FALSE,192,17
34079,34367,4,6,FALSE,FALSE,288,13
34367,34559,6,5,FALSE,FALSE,192,14
34559,34751,5,6,FALSE,FALSE,192,22
34751,34895,6,4,FALSE,FALSE,144,23
34895,34943,4,2,FALSE,FALSE,48,6
34943,35039,2,3,FALSE,FALSE,96,9
35039,35231,3,4,FALSE,FALSE,192,20
35231,35615,4,6,FALSE,FALSE,384,13
